region_id,Median_age_of_persons,Median_mortgage_repayment_monthly,Median_total_personal_income_weekly,Median_rent_weekly,Median_total_family_income_weekly,Average_number_of_Persons_per_bedroom,Median_total_household_income_weekly,Average_household_size,Total_Persons_Persons
1100102,38,1430,597,185,1567,1.1,1355,2.6,514
1100103,32,0,475,300,0,1,2583,1,606
1100104,51,1600,466,0,1383,1,533,2.5,17
1100105,45,1343,543,200,1015,1.1,912,1.9,19
1100106,32,2600,396,175,1083,1.1,722,2.5,261
1100107,51,1398,737,134,1769,1,1375,2.3,242
1100108,43,1950,714,300,1625,1,1265,2.2,237
1100109,39,1537,621,144,1329,1,940,2.5,233
1100110,37,1300,547,200,1102,1.1,923,2.4,332
1100111,39,1480,647,250,1536,1,1279,2.7,527
1100112,39,1733,625,288,1932,1,1874,3,567
1100113,37,1406,484,158,1333,1.1,993,2.6,443
1100114,39,1300,494,220,1017,1.1,914,2.3,453
1100115,40,1312,503,210,906,1.1,773,2,363
1100116,36,1213,638,200,1511,1.1,929,2,483
1100117,34,1625,583,250,1166,1,1149,2.4,440
1100118,44,1365,679,230,1431,1,1152,2.4,268
1100119,45,1300,535,200,1028,1.1,894,2.1,326
1100120,37,1300,629,240,1493,1.1,1335,2.5,283
1100121,47,1300,516,238,1017,1,712,2,415
1100122,31,2080,702,300,1916,1,1750,3.2,222
1100123,52,2544,541,103,1700,1,982,2.4,317
1100124,29,1192,401,176,869,1.1,672,2.6,316
1100125,46,1600,694,315,1491,1,1764,2.9,450
1100126,38,1733,866,320,2374,1,2211,3.1,388
1100127,40,1400,553,240,1267,1,989,2.2,277
1100128,46,1509,396,139,1068,1.1,571,1.8,417
1100129,38,1500,447,165,1035,1.1,781,2.3,255
1100130,45,1400,359,126,727,1,617,2.1,441
1100131,42,975,589,230,1555,1.1,989,2.2,284
1100132,40,1408,494,160,1140,1.1,726,2.2,304
1100133,36,1430,539,220,1201,1.1,1091,2.4,609
1100134,46,1733,700,263,1874,1,1841,2.8,339
1100135,37,1437,547,250,1602,1.1,1205,2.7,359
1100136,35,1127,547,195,1264,1.1,1079,2.4,400
1100137,40,1185,398,190,1038,1,757,2.3,522
1100138,40,1213,362,138,741,1.2,585,1.9,237
1100139,49,2167,431,190,1138,1,672,2.1,409
1100140,42,1300,509,175,1218,1.1,900,2,214
1100141,41,1083,380,168,1125,1.1,823,2.3,275
1100142,45,1192,494,230,1125,1.1,836,2.2,590
1100143,31,1049,460,165,1042,1.1,696,2.1,276
1100144,43,1376,523,308,1555,1.1,880,2.6,391
1100145,47,1000,429,150,1312,1.1,766,2.2,224
1100146,42,1144,494,200,1178,1.1,741,2.1,312
1100147,46,1300,472,195,1050,1.1,852,2.2,422
1100148,49,2850,386,160,815,1.1,631,2.2,545
1100149,44,1517,570,200,1514,1,1261,2.5,364
1100150,46,1352,463,205,1262,1,933,2.4,384
1100151,53,2200,383,90,2025,1,1733,2.7,287
1100152,26,1300,356,135,608,1.1,587,2.6,291
1100153,30,1300,397,120,1014,1.1,769,2.7,234
1100154,28,2167,723,320,1826,1,1589,2.8,531
1100155,33,1400,554,165,1041,1.1,805,1.9,564
1100156,48,1768,603,230,1718,1,1316,2.3,304
1100157,43,1560,522,175,1187,1.1,692,2,369
1100158,45,1716,525,235,1211,1,1027,2.4,539
1100159,50,2167,344,170,900,1.1,528,2,314
1100160,52,0,542,0,941,1,700,2.5,98
1100161,38,2167,529,280,1853,1.1,1718,3.1,10
1100201,45,1100,423,160,1027,1.1,777,2.4,363
1100202,51,767,466,130,1144,1,771,2.2,601
1100203,52,1138,526,185,1070,1.1,778,1.9,352
1100204,45,2091,392,200,1323,1,771,2.4,308
1100205,38,1559,440,200,1182,1.1,872,2.4,280
1100206,42,1300,441,250,1181,1.1,1034,2.7,587
1100207,44,2167,501,0,1362,1.1,1272,2.6,445
1100208,48,975,595,115,1428,1.1,1271,2.6,496
1100209,50,1625,385,30,1071,1,612,2.2,326
1100210,49,667,384,0,854,1.1,739,2.3,212
1100211,52,1559,365,0,1021,1.1,744,2.1,296
1100212,45,1100,526,92,1297,1.1,1069,2.6,187
1100213,41,2104,546,295,1221,1.1,1199,2.6,377
1100214,43,1872,427,100,1361,1.1,1087,2.6,282
1100215,49,1560,533,395,1125,1.2,900,2.3,260
1100216,45,1950,450,0,1038,1,807,2.7,273
1100217,48,2000,580,92,1333,1.1,1350,2.5,476
1100218,52,1400,451,228,1343,1,1019,2.4,333
1100219,47,758,526,250,1261,1.1,1187,2.5,314
1100220,46,1562,360,70,955,1.1,610,2.5,355
1100221,40,1733,678,80,1725,1,1287,2.5,322
1100222,47,2000,580,277,1600,1.1,1307,2.7,275
1100223,48,1858,516,190,1220,1.1,1166,2.3,498
1100224,48,2474,477,50,1264,1,1144,2.7,423
1100225,46,2600,552,180,1359,1,1220,2.3,253
1100226,44,1700,489,100,1190,1.1,1034,2.5,314
1100227,38,2416,885,320,1869,1.1,1594,2.7,578
1100228,48,1950,547,125,1718,1,1235,2.6,403
1100229,44,2167,700,150,1521,1.1,1512,2.7,350
1100230,44,1083,384,120,992,1.1,836,2.4,218
1100231,54,945,397,96,1125,1,695,2.1,285
1100232,43,2080,452,300,1187,1.1,880,2.7,472
1100233,46,1900,491,60,1303,1.1,941,2.2,210
1100301,38,1667,628,270,1295,1.1,1136,2.6,263
1100302,42,1734,1038,385,2750,1,2307,2.8,597
1100303,44,1517,724,260,1458,1,1352,2,135
1100304,39,2123,672,200,1577,1.1,1512,2.5,246
1100305,42,2167,832,550,2100,1.1,2325,3.1,518
1100306,36,1500,643,260,1630,1.1,1509,2.7,436
1100307,54,1582,538,187,1347,1.1,937,2.1,390
1100308,43,2500,665,175,1643,1,1516,2.7,692
1100309,33,1892,619,238,1723,1.1,1442,2.6,302
1100310,40,1600,592,200,1766,1.1,1264,2.5,477
1100311,40,1608,559,230,1524,1.1,994,2.2,444
1100312,34,1517,590,190,1325,1.1,1164,2.5,580
1100313,36,2383,663,340,1791,1.1,1449,2.9,602
1100314,35,1950,568,225,1629,1.1,1319,2.6,420
1100401,41,1660,557,40,1468,1,1215,2.2,497
1100402,46,1460,608,233,1442,1,955,2.2,184
1100403,35,1235,422,0,971,1.2,749,2.5,294
1100404,33,2700,1199,200,2615,1,2702,3.3,108
1100405,42,3038,938,140,2449,1,2522,2.7,846
1100406,38,2275,1006,380,2230,1.1,2027,2.5,303
1100407,40,2167,1064,250,2555,1.1,2405,2.9,255
1100408,41,2167,1094,160,2600,1.1,2408,3.1,439
1100409,44,5000,1016,0,3068,1.1,2343,3.2,334
1100410,39,3000,739,270,2327,1.1,2042,2.9,149
1100411,35,2600,1005,415,2281,1.1,2136,3.6,380
1100412,41,2000,975,200,2388,1.1,2604,3.1,286
1100413,47,1250,403,70,1273,1.1,1042,2.5,309
1100414,45,1755,1035,0,2650,1.1,2291,2.8,237
1100415,42,2000,733,353,2544,1.1,1874,2.9,228
1100416,36,2210,1101,430,2583,1.2,2062,3.3,409
1100417,37,1855,955,300,2408,1.1,2025,3.1,402
1100419,55,867,627,185,962,1.1,924,1.9,270
1100420,41,1526,713,0,1849,1.1,1455,2.5,0
1100421,52,1083,656,0,1375,1.1,1274,2.2,156
1100422,43,1603,564,0,1241,1.1,971,2.5,417
1100423,45,1473,576,72,939,1.2,924,2.5,224
1100424,41,2184,700,300,1855,1.1,1660,2.7,303
1100425,44,1662,653,193,1518,1.1,1244,2.5,156
1100426,44,2726,788,400,1833,1,1845,2.8,280
1100427,44,3417,783,320,1718,1.2,1856,2.8,506
1100428,48,2709,845,400,2266,1,1974,2.7,335
1100429,49,1547,726,144,1424,1.1,1412,2.3,225
1100430,35,2000,1111,290,2821,1,1874,2.6,363
1100431,42,2134,918,245,2305,1.1,1951,2.6,275
1100432,37,2000,756,140,1523,1.1,1388,2.8,229
1100433,44,1539,531,140,1021,1,841,2.4,577
1100434,36,1322,500,70,1080,1.1,1208,2.8,315
1100501,29,1690,578,370,1772,1,1166,3,308
1100502,36,1083,462,200,1031,1.1,868,2.4,295
1100503,33,1733,593,280,1530,1.1,1368,2.8,171
1100504,44,1452,496,230,1067,1,918,2.4,419
1100505,37,1147,392,180,870,1,632,2.3,473
1100506,36,1083,370,185,668,1.1,718,2.4,565
1100507,32,1268,463,160,738,1.1,684,2.4,580
1100508,33,1300,397,200,722,1,703,2.6,442
1100509,34,1161,453,210,937,1.1,912,2.8,283
1100510,40,1002,395,180,913,1.1,591,2.3,231
1100511,49,1387,432,180,949,1.1,622,2,438
1100512,35,1083,406,173,808,1.1,707,2.3,381
1100513,36,1733,490,275,1432,1.1,1278,2.9,248
1100514,37,1205,463,125,1343,1.1,1213,3.2,492
1100515,39,1733,500,200,1100,1,1149,2.8,346
1100516,47,1097,537,240,1115,1.1,850,2.7,389
1100517,48,1300,572,150,1383,1.1,1375,2.8,450
1100518,44,1248,549,200,924,1.1,1018,2.8,281
1100519,45,1902,369,200,982,1.1,749,2.5,514
1100520,36,1300,515,220,1273,1,1069,2.9,226
1100521,43,912,374,190,820,1.1,554,2.1,269
1100522,42,1254,519,210,978,1,938,2.8,388
1100523,43,520,419,150,825,1,608,1.6,257
1100524,46,1142,392,160,938,1.1,635,2,240
1100525,38,900,427,190,1013,1.1,808,2.3,191
1100526,36,1473,386,210,1266,1.1,814,2.9,308
1100527,37,1296,478,231,1038,1,938,2.4,367
1100528,86,0,355,78,0,1,683,1.1,221
1100529,36,1516,476,175,993,1,863,2.2,447
1100530,45,1050,475,195,1176,1,790,2,165
1100601,47,691,415,140,958,1.1,722,2.3,249
1100602,49,1174,420,150,988,1.1,742,2.1,263
1100603,50,737,376,150,745,1.1,548,2.1,571
1100604,49,867,378,140,1007,1.1,635,2.1,379
1100605,41,1000,475,180,1354,1.1,949,2.5,290
1100606,48,900,422,155,1031,1.1,635,1.9,479
1100607,45,1409,394,148,1292,1.1,911,2.7,320
1100608,50,867,361,150,912,1.1,695,2.2,320
1100609,44,802,397,150,1096,1.1,836,2.5,247
1100610,46,507,322,140,636,1.1,571,2.1,378
1100611,51,834,402,0,739,1,731,2.2,391
1100612,41,1083,497,120,1018,1.1,900,2.8,258
1100613,43,650,567,100,1292,1,1141,2.7,303
1100614,42,1057,366,100,1014,1.1,749,2.8,414
1100615,49,1083,526,0,1235,1.1,822,2.1,495
1100616,42,867,417,5,929,1.1,664,2.3,268
1100617,43,1950,629,100,1327,1.1,949,2.6,164
1100618,46,1200,517,120,1187,1.1,922,2.4,382
1100619,42,1365,537,0,1304,1.1,1141,2.6,404
1100620,48,1261,411,0,1275,1.1,825,2.4,219
1100621,44,1010,451,0,1174,1.1,782,2.4,437
1100701,50,1365,404,0,1050,1.1,721,2.5,339
1100702,47,2167,538,250,1412,1,1156,2.6,322
1100703,41,1733,475,220,1024,1.1,694,2.3,246
1100704,49,1387,464,228,1174,1.1,831,2.1,339
1100705,39,1500,511,240,1208,1.1,941,2.3,380
1100706,44,1418,474,1200,916,1.1,949,2.2,456
1100707,53,1538,500,160,1303,1.1,833,2.1,326
1100708,45,1538,594,110,1420,1.1,1140,2.4,221
1100709,38,2318,659,180,1437,1.1,1300,2.7,293
1100710,50,1629,538,0,1213,1.1,909,1.9,416
1100801,31,1712,894,360,2125,1,1687,2.4,306
1100802,37,2000,780,400,2017,1.1,1847,2.8,367
1100803,36,2132,473,219,1162,1.1,1066,2.5,361
1100804,34,1873,585,230,1034,1.1,916,2.4,593
1100805,25,2383,463,152,728,1,739,2.6,384
1100806,42,1200,680,225,1562,1,1705,2.7,444
1100807,40,1669,742,340,1833,1.1,1395,2.3,284
1100808,34,1777,618,200,1352,1.1,1452,2.8,393
1100810,33,1733,719,400,2395,1,2528,3.6,460
1100811,42,2002,775,370,1485,1.1,1559,2.5,527
1100812,30,2300,1215,310,2476,1,2449,2.7,0
1100813,33,2383,949,380,2184,1,2173,3.1,274
1100814,37,1647,888,390,2130,1.1,1705,2.6,332
1100815,35,1623,757,260,1716,1.1,1145,2.1,242
1100816,36,1733,479,135,1196,1.1,974,2.1,442
1100817,33,1848,743,220,1882,1.2,1470,2.6,488
1100818,35,2022,653,150,1578,1.1,1163,2.6,489
1100819,34,1900,979,330,2595,1.1,2717,3.1,448
1100820,33,1404,727,270,1892,1.1,1488,3,330
1100821,39,1993,774,325,2055,1,2102,3.3,345
1100822,37,2200,784,215,2327,1.1,2316,3.3,473
1100823,25,2084,822,350,1974,1.1,2471,3.3,301
1100901,42,1950,736,300,2187,1.1,1468,2.5,485
1100902,40,1723,714,200,1874,1,1694,2.8,249
1100903,35,2271,796,300,1789,1.1,1651,2.6,256
1100904,43,2568,773,330,1890,1,1805,2.7,228
1100905,46,2383,684,450,1750,1.1,1220,2.5,340
1100906,34,1885,875,340,1922,1.1,1367,1.8,743
1100907,33,1447,831,275,1666,1.1,1217,2,362
1100908,34,1430,830,300,1375,1.1,1136,1.7,410
1100909,30,1387,739,270,1298,1.2,1134,1.8,689
1100910,31,1647,829,250,1777,1.2,1129,1.7,407
1100911,35,1213,616,280,1515,1.1,1148,2.2,522
1100912,44,1850,744,320,1692,1.1,1312,2.4,537
1100913,36,2167,767,358,1861,1.1,1605,2.7,422
1100914,39,1300,720,360,1573,1.1,1303,2.4,414
1100915,34,1690,762,222,1389,1.2,1074,1.9,286
1100916,33,1733,806,325,1988,1.1,1598,2.4,652
1100917,47,1180,553,190,2042,1.1,942,1.7,432
1100918,47,1746,612,350,1867,1.1,980,2,718
1100919,37,1756,722,240,1458,1.1,1380,2.3,463
1100920,43,1307,643,270,1321,1.2,892,1.8,251
1100921,37,1793,841,300,1523,1.2,1420,1.8,535
1100922,38,1560,645,255,1580,1.1,1167,2,428
1101001,42,1867,608,350,1406,1.2,582,2.1,400
1101002,44,2500,857,0,2767,1,2920,3.2,346
1101003,48,1733,971,600,2625,1,2615,3.1,638
1101004,33,2450,961,500,1903,1.1,2012,2.7,126
1101005,34,1950,888,288,1878,1.1,1670,2.3,379
1101006,32,1733,778,210,1575,1.2,1075,1.6,340
1101007,36,1300,795,290,1481,1.1,1085,1.8,289
1101008,34,1950,713,265,1592,1.3,1233,2.1,707
1101009,39,1950,754,320,1575,1.1,1602,2.2,466
1101010,29,1800,791,240,1683,1.2,1141,2,270
1101011,48,1690,724,231,900,1,900,1.9,475
1101012,31,1734,1075,370,1583,1.1,1458,2.1,374
1101014,46,2100,894,125,1937,1.3,2899,2.9,342
1101015,31,1647,878,273,1386,1.2,1191,1.7,37
1101101,44,1600,711,360,1762,1.1,1590,2.6,93
1101102,40,2058,936,150,2049,1.1,1974,2.8,0
1101103,42,2275,966,338,2536,1.1,2374,2.6,168
1101104,29,2243,681,190,1536,1.1,1145,2.3,589
1101105,42,2167,880,165,1874,1.1,2312,3,366
1101106,44,2000,930,270,2516,1,2471,3,249
1101107,39,2000,731,0,2175,1.1,1607,2.9,247
1101108,37,1300,686,270,1468,1.1,1333,2.3,548
1101109,47,2659,1037,166,2625,1.1,2416,2.9,515
1101110,36,1800,739,265,2281,1.1,2181,3,351
1101111,44,2550,1054,160,2474,1.1,2315,2.7,344
1101112,41,1517,919,0,1571,1.2,1856,2.8,436
1101113,44,1600,664,210,1687,1.3,2083,3,304
1101114,44,2708,908,143,2562,1.1,2049,2.8,342
1101115,35,3017,1173,380,2478,1.4,2791,3.7,413
1101116,41,1506,695,130,1833,1.1,1715,2.5,184
1101117,39,2500,894,190,2125,1.1,2021,2.7,112
1101118,43,2037,702,70,1750,1.1,1307,2.4,303
1101119,45,2817,1060,0,3062,1,3208,3.1,279
1101120,39,2167,991,463,2434,1.1,2571,3.3,310
1101121,39,2682,958,220,2659,1,2399,3.4,278
1101122,45,1603,827,500,1845,1.1,2083,3.1,351
1101123,38,2817,1054,100,2750,1.1,2545,3.7,292
1101124,34,2383,1167,500,2629,1,2587,3.2,526
1101125,37,1733,819,364,2030,1.1,1569,2.6,310
1101126,39,2167,828,300,1946,1.1,1847,2.8,285
1101127,36,2167,990,275,2566,1.1,2536,3.3,233
1101128,36,1920,1042,310,3017,1.2,2722,3.2,870
1101129,36,2250,992,300,2725,1.1,2888,3.5,505
1101130,43,2600,1096,390,2773,1.1,2687,3,477
1101131,47,2600,1033,350,2770,1,2291,2.8,332
1101132,35,2184,1164,320,2971,1.1,3088,3.4,262
1101133,43,2084,945,0,2296,1.1,2402,2.7,369
1101134,45,2176,974,275,2874,1.1,2866,3.1,568
1101135,45,2654,1100,280,3014,1.1,2187,2.8,213
1101136,40,2500,984,363,2421,1.1,2542,3.1,302
1101137,44,2600,986,305,2600,1.1,2083,2.6,325
1101138,33,2600,1193,535,2676,1,2625,3.3,296
1101139,42,2578,1096,340,3156,1.1,2781,2.9,265
1101140,46,1800,979,0,2650,1,2571,2.9,306
1101201,34,1900,877,390,2374,1.1,2250,2.9,306
1101202,36,2383,1396,0,3374,1,3324,3.5,537
1101203,33,2600,1309,304,2835,1,2916,3.4,215
1101204,30,3250,1319,325,3203,1.1,3250,3.7,369
1101205,34,2500,1292,300,3673,1,3463,3.8,209
1101206,35,3467,1257,530,3230,1,3033,3.6,239
1101207,38,2084,779,218,2416,1.1,2075,2.6,583
1101208,41,1950,755,350,1891,1.1,1615,2.6,334
1101209,34,2134,1089,299,2742,1,2808,3.4,335
1101210,34,2100,1028,450,2594,1,2428,2.9,367
1101211,31,3033,1316,419,2972,1.1,3055,3.4,237
1101212,33,2817,1199,400,2643,1,2360,3.1,451
1101213,36,2167,1128,450,2625,1,2613,3,716
1101214,36,1800,1019,280,2625,1,2650,3.4,474
1101215,32,2500,1185,460,2619,1,2520,2.7,616
1101216,32,2234,1244,330,2981,1,2647,3.1,340
1101217,41,0,317,57,3750,1,350,2,528
1101218,30,1783,950,350,2266,1,1889,2.7,545
1101219,37,2180,798,300,1965,1.1,1423,2,460
1101220,31,1733,845,320,1889,1.1,1679,2.7,341
1101221,25,1950,1066,245,2204,1,2125,3.2,19
1101222,36,2000,1045,350,2603,1.1,2507,2.9,501
1101223,34,2000,1116,390,2398,1,2076,2.4,584
1101224,36,2167,1044,340,2892,1,2359,3.1,454
1101227,36,2937,1369,500,3625,1,3720,3.5,302
1101228,35,1733,942,360,2147,1.1,1738,2.6,509
1101229,28,1733,593,180,1361,1.1,1125,2.8,547
1101230,29,2167,516,200,1100,1.2,1027,2.9,558
1101231,42,2334,1133,292,2952,1,2616,2.9,0
1101232,34,2250,1197,350,3010,1,2973,3.3,0
1101301,50,867,365,0,772,1.1,552,2.1,422
1101302,42,975,437,135,1083,1.1,863,2.1,419
1101303,37,1289,431,150,1011,1.1,842,2.2,438
1101304,43,867,516,148,1048,1.1,955,2.2,247
1101305,48,1800,450,0,1149,1.1,885,2.3,313
1101306,52,1000,538,120,1024,1.1,766,2.2,494
1101307,47,867,441,14,900,1.1,715,2.5,269
1101308,48,921,536,100,1375,1.1,1292,2.2,479
1101401,33,988,511,220,956,1.2,900,2.6,264
1101402,37,1200,497,195,1050,1.1,866,2.3,465
1101403,49,1517,459,160,1233,1,709,2,214
1101404,41,1192,463,175,1078,1.1,722,2,184
1101405,39,949,469,210,978,1.1,695,2.1,302
1101406,45,1239,530,195,1080,1.1,906,2.3,240
1101407,48,1379,546,250,1263,1,972,2.3,352
1101408,38,1307,603,265,1319,1.1,1083,2.5,370
1101409,50,1192,577,218,1218,1,1007,2.2,402
1101410,45,1151,523,177,1021,1.1,868,2.2,453
1101411,39,1083,460,145,1224,1.1,811,2.1,445
1101412,37,1083,510,195,1171,1.1,933,2.4,487
1101413,39,1118,457,140,1317,1.1,784,2,400
1101414,43,867,608,310,1656,1,1196,3,216
1101415,38,1127,610,200,1221,1,1138,2.5,417
1101416,45,1213,606,220,1202,1,1005,2.2,417
1101417,40,0,624,753,0,1,620,1.9,483
1101418,44,1867,575,190,1470,1.1,1514,2.9,490
1101503,49,650,343,118,729,1.1,566,2.2,354
1101504,53,1083,514,0,949,1.1,900,2.2,207
1101505,49,0,581,0,1125,1.1,962,2.7,340
1101506,44,1083,487,108,933,1.2,895,2.5,457
1101507,49,1713,545,60,1125,1.1,1057,2.3,13
1101508,44,1300,615,330,1333,1.2,1354,2.5,373
1101509,41,1565,627,215,2119,1.1,1512,2.6,0
1101510,47,1187,557,100,1278,1,1144,2.7,12
1101511,46,950,391,130,982,1.1,766,2.1,224
1101512,50,1600,436,180,979,1.1,924,2.4,195
1101513,50,2000,561,88,1137,1,1037,2.2,109
1101601,32,0,724,180,1166,1.2,949,2.3,362
1101602,41,1200,462,200,1091,1.1,877,2.4,226
1101603,49,867,502,150,1057,1.1,875,2.3,374
1101604,54,1170,460,205,1125,1.1,1042,2.3,499
1101605,41,2600,641,150,1625,1.1,1083,2.3,378
1101606,45,1582,660,248,1781,1.1,1292,2.5,226
1101607,49,1300,503,0,1125,1,1156,2.1,208
1101608,42,1733,686,300,1577,1.1,1408,2.7,358
1101609,27,1864,687,248,1562,1,1750,3.1,149
1101610,38,2200,649,300,1760,1.2,1600,2.9,441
1101611,38,2500,876,46,1833,1.6,1274,1.8,293
1101612,35,0,749,0,1899,1.7,2083,2.6,173
1101613,37,1950,646,230,1833,1.1,2022,2.8,212
1101614,26,1777,655,375,1325,1.1,1166,2.4,391
1101615,35,2000,770,280,1903,1.1,1461,2.8,215
1101616,33,1100,692,250,1281,1.1,1025,2.1,273
1101617,26,1500,663,250,1406,1.1,1115,2.5,270
1101618,40,2167,738,293,1625,1.1,1408,2.9,660
1101619,43,1387,556,220,1237,1,904,2.4,471
1101620,33,1441,662,260,1416,1.2,1416,2.3,137
1101701,56,1701,412,134,909,1,770,2.1,237
1101702,40,1863,434,300,918,1,833,2.5,298
1101703,57,1300,443,260,979,1,828,2,357
1101704,47,1517,364,200,817,1.1,619,2,444
1101705,52,1712,389,170,625,1.1,564,1.8,416
1101706,58,1860,391,180,831,1.1,547,1.8,551
1101707,65,0,1400,0,0,1,5000,3,466
1101708,48,1265,481,270,1013,1.1,1019,2.4,219
1101709,44,1853,436,370,1239,1.1,1065,2.6,560
1101710,54,2251,487,400,1208,1,1023,2.5,241
1101711,47,1517,557,295,1231,1.1,1093,2.7,409
1101712,41,1733,410,236,869,1.1,714,2.6,362
1101713,43,1980,412,215,866,1.1,720,2.1,232
1101716,37,1408,419,230,923,1.1,850,2.4,430
1101717,58,2009,398,220,850,1.1,563,1.8,6
1101718,41,1517,402,195,753,1.1,611,1.9,396
1101719,49,1517,388,280,914,1.1,819,2.7,605
1101720,51,1517,435,275,881,1.1,866,2.4,376
1101721,36,1382,398,270,826,1.1,733,2.5,290
1101722,53,1800,426,270,904,1.1,846,2.4,504
1101801,50,1630,433,250,958,1,933,2.4,427
1101802,58,1800,508,270,1125,1,1050,2.3,0
1101803,44,1083,490,309,1161,1.1,1050,2.8,0
1101804,60,867,542,228,1021,1,715,2,474
1101805,53,867,529,250,1278,1,1187,2.4,255
1101806,48,1452,428,210,775,1.1,705,2.2,401
1101807,48,1692,439,260,906,1.1,753,2.3,369
1101808,44,1084,385,250,788,1.1,718,2.4,254
1101809,69,1440,553,265,982,1,907,1.8,413
1101810,46,1998,396,230,868,1.1,900,2.4,510
1101811,52,1820,402,315,876,1.1,860,2.6,323
1101812,51,1300,413,228,769,1.1,721,2.1,292
1101813,51,1480,525,220,1262,1.1,929,2.3,367
1101814,52,1213,524,280,963,1,922,2.4,189
1101815,56,2500,500,290,1028,1,909,2.1,235
1101816,47,1820,457,250,843,1,766,2.2,461
1101817,45,1950,471,270,1152,1.1,1085,2.5,520
1101818,52,1430,382,280,937,1,840,2.4,637
1101819,50,1428,422,150,820,1.1,763,2.4,242
1101820,43,1062,350,280,712,1,628,2.1,300
1101821,48,1410,484,315,900,1.1,883,2.2,329
1101822,60,1300,464,230,1109,1,830,2,419
1101823,43,1600,404,230,853,1.1,586,1.9,230
1101901,47,1322,396,200,953,1.1,703,2.1,257
1101902,44,1083,376,150,791,1.1,647,2,275
1101903,50,1317,509,185,1097,1,720,1.9,372
1101904,38,1200,416,170,1052,1.1,938,2.6,536
1101905,37,1517,375,145,831,1.1,620,2.5,488
1101906,35,1500,554,280,1125,1.2,1010,2.7,347
1101907,37,1213,445,230,1112,1.1,959,2.6,286
1101908,38,1430,445,168,962,1.1,917,2.8,218
1101909,42,1148,432,160,911,1,721,2.1,438
1101910,53,1408,551,260,1062,1.1,909,2.3,456
1101911,47,926,528,220,1174,1.1,887,2.3,0
1101912,50,1300,571,226,1069,1.1,917,2.3,469
1101913,50,1408,530,220,1014,1,809,2.1,453
1101914,41,1517,572,111,1302,1.1,1242,2.6,268
1101915,42,1788,522,320,1147,1.1,1125,3.3,485
1101916,47,1300,572,265,1361,1.1,1138,2.5,436
1101917,42,1400,544,300,1322,1,1208,2.6,424
1101918,46,2150,644,280,1571,1,1384,2.5,360
1101919,45,1084,450,220,1375,1.3,1017,2.5,338
1101920,42,1200,460,200,1073,1.1,758,2.1,314
1101921,43,1517,685,320,1583,1,1687,2.6,149
1101922,56,1213,520,175,939,1.1,625,2,439
1102001,45,2167,394,100,1021,1.1,1018,2.7,384
1102002,49,1300,539,180,1300,1.1,1183,2.6,432
1102003,40,1083,446,160,914,1.1,831,2.7,641
1102004,44,1142,366,165,855,1.1,808,2.2,210
1102005,56,1170,403,0,949,1.1,790,1.9,468
1102006,49,750,350,90,811,1.2,662,2.2,604
1102007,42,1667,467,173,1179,1.2,1031,2.8,246
1102008,43,1609,497,0,1288,1.2,1152,2.7,206
1102010,64,0,100,0,0,1,100,1,284
1102011,46,1604,478,208,1138,1.1,907,2.5,172
1102013,51,953,397,180,1178,1,900,2,269
1102014,47,1040,459,230,1017,1.1,864,2.4,334
1102015,55,1200,365,158,814,1.1,687,2.3,511
1102016,49,867,333,200,793,1.1,722,2.5,366
1102017,36,1105,573,203,1292,1.1,1125,2.6,350
1102018,45,1300,471,150,988,1.1,926,2.4,240
1102019,50,1139,427,125,1156,1.1,925,2.4,372
1102020,52,975,396,180,1019,1.1,792,2.4,314
1102022,40,1250,382,190,776,1.1,573,2.7,366
1102023,46,1733,470,188,1125,1.1,922,2.5,0
1102024,51,1517,390,135,845,1.1,677,2,3
1102025,40,1200,421,225,976,1.1,879,2.5,317
1102026,41,1007,390,50,719,1.2,776,2.8,0
1102027,47,1200,461,173,1057,1.1,900,2.8,160
1102028,42,1300,624,0,1196,1.2,1176,2.7,199
1102029,51,540,460,0,844,1.1,823,2.3,160
1102030,41,1012,360,170,723,1.2,553,2.4,299
1102031,45,1344,410,160,1024,1.1,933,2.6,275
1102032,51,884,388,105,749,1.2,762,2.3,414
1102101,51,1343,411,240,1021,1.1,840,2.3,381
1102102,47,2209,483,240,1375,1.1,850,2.3,507
1102103,42,2167,591,170,1389,1.1,1171,2.5,0
1102104,58,1340,431,270,937,1.1,745,2.1,306
1102105,48,1148,438,220,854,1.2,837,2.4,272
1102106,57,1235,415,210,873,1.1,668,2,271
1102107,49,1083,534,210,1218,1.1,984,2.3,418
1102201,47,900,475,0,3600,1.2,1041,2.8,178
1102301,48,1000,422,190,861,1.1,691,2,225
1102302,46,1950,517,270,1184,1.1,1012,2.5,404
1102303,42,1690,533,275,1278,1,1312,2.8,260
1102304,53,650,460,160,977,1.1,1025,2.2,441
1102305,47,1300,445,225,993,1.1,840,2.2,167
1102306,53,1517,369,133,1024,1.1,609,2.2,263
1102307,47,1157,368,168,866,1.1,643,2,346
1102308,38,1294,357,160,705,1.1,575,2.4,209
1102309,53,1965,554,213,1083,1,903,2,439
1102310,73,0,287,0,1375,1,0,2,440
1102401,45,1083,493,50,1019,1.2,942,2.4,307
1102402,50,1083,480,105,963,1.1,900,2.5,581
1102403,41,1342,355,150,792,1.2,733,2.7,509
1102404,44,1300,453,190,1125,1.1,953,2.7,56
1102405,51,1517,421,200,1194,1.1,888,2.5,374
